Player,WinChips,AttendCount,WinCount,LoseCount,PeaceCount,WinningRate,Ranking
RealStrong,26392.320000000003,95,65,27,3,68.42%,1
BigTree,7857.910000000002,51,37,14,0,72.55%,2
Peter,6085.329999999999,104,62,41,1,59.62%,3
Shawn,4328.3,17,12,5,0,70.59%,4
BigBrave,4221.400000000001,41,28,12,1,68.29%,5
mimi,2236.44,43,28,15,0,65.12%,6
Panda,2182.6400000000003,17,10,7,0,58.82%,7
Figo,280.0,10,4,6,0,40.00%,8
Dean,-36.29000000000002,5,3,2,0,60.00%,9
Wayne,-176.2000000000001,9,5,4,0,55.56%,10
Jianyu,-620.0,1,0,1,0,0.00%,11
BattleMan,-1400.0,1,0,1,0,0.00%,12
Rex,-1630.0,8,2,6,0,25.00%,13
Jerry,-1825.8799999999999,53,29,24,0,54.72%,14
Citizen,-1955.7299999999998,55,24,31,0,43.64%,15
FatFish,-2530.0,1,0,1,0,0.00%,16
DoubleCloud,-5335.69,17,8,9,0,47.06%,17
Albert,-5390.86,18,7,11,0,38.89%,18
topOne,-7515.440000000002,50,24,25,1,48.00%,19
Anton,-8671.380000000001,89,45,43,1,50.56%,20
Onion,-9202.15,53,24,29,0,45.28%,21
West,-14041.960000000003,85,43,42,0,50.59%,22
Seek,-19245.39,40,20,20,0,50.00%,23
